"","Penalty","Total","Yds","Pen/G","Yds/G","year"
"1100","Illegal Touch Pass",4,0,0.02,0,2016
"1101","Ineligible Downfield Kick",4,20,0.02,0.08,2016
"1102","Tripping",4,40,0.02,0.16,2016
"1103","Offensive Offside",4,20,0.02,0.08,2016
"1104","Illegal Blindside Block",3,36,0.01,0.14,2016
"1105","Leaping",3,38,0.01,0.15,2016
"1106","Invalid Fair Catch Signal",2,10,0.01,0.04,2016
"1107","Illegal Crackback",2,30,0.01,0.12,2016
"1108","False Start, superseded. PENALTY",1,15,0,0.06,2016
"1109","Defensive Delay of Game",1,5,0,0.02,2016
"1110","Low Block",1,15,0,0.06,2016
"1111","Offensive Holding",664,6304,2.59,24.63,2017
"1112","False Start",513,2518,2,9.84,2017
"1113","Defensive Pass Interference",266,4632,1.04,18.09,2017
"1114","Defensive Holding",237,1136,0.93,4.44,2017
"1115","Unnecessary Roughness",199,2666,0.78,10.41,2017
"1116","Defensive Offside",180,867,0.7,3.39,2017
"1117","Illegal Block Above the Waist",169,1600,0.66,6.25,2017
"1118","Neutral Zone Infraction",128,628,0.5,2.45,2017
"1119","Delay of Game",127,624,0.5,2.44,2017
"1120","Offensive Pass Interference",115,1103,0.45,4.31,2017
"1121","Illegal Use of Hands",107,671,0.42,2.62,2017
"1122","Roughing the Passer",105,1451,0.41,5.67,2017
"1123","Face Mask (15 Yards)",89,1198,0.35,4.68,2017
"1124","Unsportsmanlike Conduct",67,892,0.26,3.48,2017
"1125","Encroachment",53,253,0.21,0.99,2017
"1126","Illegal Formation",45,215,0.18,0.84,2017
"1127","Defensive 12 On-field",43,202,0.17,0.79,2017
"1128","Intentional Grounding",33,369,0.13,1.44,2017
"1129","Offside on Free Kick",32,160,0.13,0.63,2017
"1130","Illegal Contact",29,144,0.11,0.56,2017
"1131","Illegal Shift",24,121,0.09,0.47,2017
"1132","Horse Collar Tackle",20,271,0.08,1.06,2017
"1133","Taunting",18,251,0.07,0.98,2017
"1134","Ineligible Downfield Pass",14,70,0.05,0.27,2017
"1135","Illegal Blindside Block",11,146,0.04,0.57,2017
"1136","Illegal Motion",11,54,0.04,0.21,2017
"1137","Player Out of Bounds on Punt",11,55,0.04,0.21,2017
"1138","Tripping",10,100,0.04,0.39,2017
"1139","Offensive 12 On-field",10,48,0.04,0.19,2017
"1140","Leverage",9,126,0.04,0.49,2017
"1141","Illegal Forward Pass",9,35,0.04,0.14,2017
"1142","Running Into the Kicker",8,36,0.03,0.14,2017
"1143","Chop Block",7,103,0.03,0.4,2017
"1144","Illegal Touch Pass",7,0,0.03,0,2017
"1145","Illegal Substitution",6,29,0.02,0.11,2017
"1146","Disqualification",6,72,0.02,0.28,2017
"1147","Low Block",5,55,0.02,0.21,2017
"1148","Clipping",5,67,0.02,0.26,2017
"1149","Illegal Crackback",4,59,0.02,0.23,2017
"1150","Ineligible Downfield Kick",3,15,0.01,0.06,2017
"1151","Interference with Opportunity to",3,45,0.01,0.18,2017
"1152","Illegal Peelback",3,34,0.01,0.13,2017
"1153","Fair Catch Interference",3,30,0.01,0.12,2017
"1154","Illegal Touch Kick",3,5,0.01,0.02,2017
"1155","Defensive Delay of Game",2,10,0.01,0.04,2017
"1156","Delay of Kickoff",2,10,0.01,0.04,2017
"1157","Illegal Bat",1,0,0,0,2017
"1158","Roughing the Kicker",1,15,0,0.06,2017
"1159","Short Free Kick",1,5,0,0.02,2017
"1160","False Start, superseded. PENALTY",1,15,0,0.06,2017
"1161","Invalid Fair Catch Signal",1,5,0,0.02,2017
"1162","Leaping",1,6,0,0.02,2017
"1163","Offensive Holding",708,6844,2.77,26.73,2018
"1164","False Start",566,2763,2.21,10.79,2018
"1165","Defensive Holding",238,1098,0.93,4.29,2018
"1166","Defensive Pass Interference",236,4091,0.92,15.98,2018
"1167","Unnecessary Roughness",204,2646,0.8,10.34,2018
"1168","Illegal Block Above the Waist",185,1741,0.72,6.8,2018
"1169","Defensive Offside",144,707,0.56,2.76,2018
"1170","Neutral Zone Infraction",143,687,0.56,2.68,2018
"1171","Delay of Game",114,564,0.45,2.2,2018
"1172","Roughing the Passer",114,1491,0.45,5.82,2018
"1173","Face Mask (15 Yards)",89,1178,0.35,4.6,2018
"1174","Offensive Pass Interference",83,817,0.32,3.19,2018
"1175","Illegal Formation",72,356,0.28,1.39,2018
"1176","Illegal Use of Hands",71,431,0.28,1.68,2018
"1177","Unsportsmanlike Conduct",51,711,0.2,2.78,2018
"1178","Illegal Shift",43,216,0.17,0.84,2018
"1179","Illegal Contact",43,210,0.17,0.82,2018
"1180","Defensive Too Many Men on Field",42,182,0.16,0.71,2018
"1181","Encroachment",40,187,0.16,0.73,2018
"1182","Intentional Grounding",27,308,0.11,1.2,2018
"1183","Taunting",24,339,0.09,1.32,2018
"1184","Lowering the Head to Initiate Contact",16,231,0.06,0.9,2018
"1185","Ineligible Downfield Pass",16,80,0.06,0.31,2018
"1186","Horse Collar Tackle",14,153,0.05,0.6,2018
"1187","Offside on Free Kick",13,65,0.05,0.25,2018
"1188","Chop Block",12,175,0.05,0.68,2018
"1189","Illegal Motion",11,54,0.04,0.21,2018
"1190","Disqualification",10,123,0.04,0.48,2018
"1191","Tripping",9,88,0.04,0.34,2018
"1192","Illegal Substitution",8,37,0.03,0.14,2018
"1193","Illegal Touch Kick",8,35,0.03,0.14,2018
"1194","Roughing the Kicker",8,120,0.03,0.47,2018
"1195","Running Into the Kicker",8,39,0.03,0.15,2018
"1196","Ineligible Downfield Kick",7,35,0.03,0.14,2018
"1197","Illegal Blindside Block",7,85,0.03,0.33,2018
"1198","Player Out of Bounds on Kick",7,35,0.03,0.14,2018
"1199","Illegal Forward Pass",6,25,0.02,0.1,2018
"1200","Leverage",6,90,0.02,0.35,2018
"1201","Offensive Too Many Men on Field",6,29,0.02,0.11,2018
"1202","Kick Catch Interference",5,75,0.02,0.29,2018
"1203","Fair Catch Interference",4,60,0.02,0.23,2018
"1204","Illegal Touch Pass",4,0,0.02,0,2018
"1205","Clipping",3,42,0.01,0.16,2018
"1206","Low Block",2,15,0.01,0.06,2018
"1207","Illegal Crackback",2,30,0.01,0.12,2018
"1208","Illegal Wedge",1,7,0,0.03,2018
"1209","Defensive Delay of Game",1,5,0,0.02,2018
"1210","Offensive Holding",724,6976,2.83,27.25,2019
"1211","False Start",547,2648,2.14,10.34,2019
"1212","Defensive Pass Interference",269,4381,1.05,17.11,2019
"1213","Defensive Holding",245,1158,0.96,4.52,2019
"1214","Neutral Zone Infraction",162,772,0.63,3.02,2019
"1215","Illegal Block Above the Waist",159,1497,0.62,5.85,2019
"1216","Unnecessary Roughness",156,2055,0.61,8.03,2019
"1217","Defensive Offside",148,731,0.58,2.86,2019
"1218","Roughing the Passer",134,1808,0.52,7.06,2019
"1219","Delay of Game",121,589,0.47,2.3,2019
"1220","Offensive Pass Interference",99,1020,0.39,3.98,2019
"1221","Illegal Use of Hands",98,628,0.38,2.45,2019
"1222","Face Mask (15 Yards)",72,967,0.28,3.78,2019
"1223","Illegal Formation",68,339,0.27,1.32,2019
"1224","Illegal Shift",40,197,0.16,0.77,2019
"1225","Ineligible Downfield Pass",40,206,0.16,0.8,2019
"1226","Illegal Contact",36,180,0.14,0.7,2019
"1227","Unsportsmanlike Conduct",34,434,0.13,1.7,2019
"1228","Encroachment",34,153,0.13,0.6,2019
"1229","Intentional Grounding",33,367,0.13,1.43,2019
"1230","Defensive Too Many Men on Field",30,124,0.12,0.48,2019
"1231","Illegal Blindside Block",30,386,0.12,1.51,2019
"1232","Lowering the Head to Initiate Contact",29,401,0.11,1.57,2019
"1233","Horse Collar Tackle",19,233,0.07,0.91,2019
"1234","Illegal Double-Team Block",16,158,0.06,0.62,2019
"1235","Offensive Too Many Men on Field",13,65,0.05,0.25,2019
"1236","Disqualification",11,165,0.04,0.64,2019
"1237","Illegal Touch Kick",10,25,0.04,0.1,2019
"1238","Chop Block",10,149,0.04,0.58,2019
"1239","Taunting",9,120,0.04,0.47,2019
"1240","Offside on Free Kick",9,45,0.04,0.18,2019
"1241","Roughing the Kicker",8,104,0.03,0.41,2019
"1242","Illegal Motion",7,35,0.03,0.14,2019
"1243","Fair Catch Interference",7,105,0.03,0.41,2019
"1244","Tripping",7,70,0.03,0.27,2019
"1245","Illegal Forward Pass",7,35,0.03,0.14,2019
"1246","Kick Catch Interference",6,90,0.02,0.35,2019
"1247","Running Into the Kicker",5,25,0.02,0.1,2019
"1248","Player Out of Bounds on Kick",5,25,0.02,0.1,2019
"1249","Illegal Substitution",5,25,0.02,0.1,2019
"1250","Illegal Bat",3,4,0.01,0.02,2019
"1251","Ineligible Downfield Kick",2,10,0.01,0.04,2019
"1252","Defensive Delay of Game",2,10,0.01,0.04,2019
"1253","Invalid Fair Catch Signal",1,5,0,0.02,2019
"1254","Leverage",1,15,0,0.06,2019
"1255","Delay of Kickoff",1,5,0,0.02,2019
"1256","Clipping",1,15,0,0.06,2019
"1257","Low Block",1,12,0,0.05,2019
"1258","Illegal Crackback",1,15,0,0.06,2019
"1259","False Start",496,2418,1.94,9.45,2020
"1260","Offensive Holding",462,4452,1.8,17.39,2020
"1261","Defensive Pass Interference",309,4937,1.21,19.29,2020
"1262","Defensive Holding",175,889,0.68,3.47,2020
"1263","Unnecessary Roughness",158,2104,0.62,8.22,2020
"1264","Neutral Zone Infraction",154,743,0.6,2.9,2020
"1265","Defensive Offside",152,775,0.59,3.03,2020
"1266","Roughing the Passer",122,1606,0.48,6.27,2020
"1267","Delay of Game",119,588,0.46,2.3,2020
"1268","Illegal Block Above the Waist",92,857,0.36,3.35,2020
"1269","Face Mask (15 Yards)",71,981,0.28,3.83,2020
"1270","Offensive Pass Interference",62,604,0.24,2.36,2020
"1271","Illegal Contact",59,303,0.23,1.18,2020
"1272","Illegal Formation",50,263,0.2,1.03,2020
"1273","Illegal Use of Hands",48,324,0.19,1.27,2020
"1274","Intentional Grounding",43,458,0.17,1.79,2020
"1275","Encroachment",34,163,0.13,0.64,2020
"1276","Lowering the Head to Initiate Contact",34,475,0.13,1.86,2020
"1277","Defensive Too Many Men on Field",33,144,0.13,0.56,2020
"1278","Unsportsmanlike Conduct",26,316,0.1,1.23,2020
"1279","Ineligible Downfield Pass",26,140,0.1,0.55,2020
"1280","Illegal Shift",23,114,0.09,0.45,2020
"1281","Horse Collar Tackle",21,284,0.08,1.11,2020
"1282","Disqualification",17,209,0.07,0.82,2020
"1283","Illegal Blindside Block",16,182,0.06,0.71,2020
"1284","Illegal Double-Team Block",11,101,0.04,0.39,2020
"1285","Taunting",10,119,0.04,0.46,2020
"1286","Player Out of Bounds on Kick",8,40,0.03,0.16,2020
"1287","Offensive Too Many Men on Field",8,40,0.03,0.16,2020
"1288","Roughing the Kicker",7,101,0.03,0.39,2020
"1289","Chop Block",7,102,0.03,0.4,2020
"1290","Offside on Free Kick",6,30,0.02,0.12,2020
"1291","Tripping",6,65,0.02,0.25,2020
"1292","Illegal Crackback",6,90,0.02,0.35,2020
"1293","Clipping",6,84,0.02,0.33,2020
"1294","Illegal Motion",5,25,0.02,0.1,2020
"1295","Illegal Forward Pass",5,35,0.02,0.14,2020
"1296","Illegal Touch Pass",4,10,0.02,0.04,2020
"1297","Illegal Touch Kick",4,20,0.02,0.08,2020
"1298","Running Into the Kicker",3,14,0.01,0.05,2020
"1299","Offensive Offside",3,15,0.01,0.06,2020
"1300","Ineligible Downfield Kick",2,10,0.01,0.04,2020
"1301","Defensive Delay of Game",2,10,0.01,0.04,2020
"1302","Illegal Wedge",1,12,0,0.05,2020
"1303","Fair Catch Interference",1,15,0,0.06,2020
"1304","Leverage",1,15,0,0.06,2020
"1305","Illegal Substitution",1,15,0,0.06,2020
"1306","Kick Catch Interference",1,15,0,0.06,2020
